date,ts,exit_ts,strat,dir,pnl_1c,mae_1c
2020-12-01,2020-12-01T10:20:00-05:00,2020-12-01T10:40:00-05:00,FB,LONG,-1290.0,-1440.0
2020-12-01,2020-12-01T19:20:00-05:00,2020-12-02T06:20:00-05:00,OD,LONG,-335.0,-740.0
2020-12-02,2020-12-02T10:45:00-05:00,2020-12-02T14:00:00-05:00,FB,LONG,-245.0,-735.0
2020-12-02,2020-12-02T19:20:00-05:00,2020-12-02T23:20:00-05:00,OD,LONG,-10.0,-245.0
2020-12-03,2020-12-03T10:25:00-05:00,2020-12-03T11:10:00-05:00,FB,LONG,-1485.0,-1470.0
2020-12-03,2020-12-03T19:20:00-05:00,2020-12-04T07:20:00-05:00,OD,LONG,310.0,-185.0
2020-12-07,2020-12-07T10:25:00-05:00,2020-12-07T13:40:00-05:00,B2,LONG,-700.0,-790.0
2020-12-07,2020-12-07T10:25:00-05:00,2020-12-07T14:00:00-05:00,FB,LONG,-500.0,-935.0
2020-12-07,2020-12-07T19:20:00-05:00,2020-12-08T02:00:00-05:00,OD,LONG,-30.0,-285.0
2020-12-08,2020-12-08T13:10:00-05:00,2020-12-08T14:00:00-05:00,FB,LONG,280.0,-170.0
2020-12-08,2020-12-08T19:20:00-05:00,2020-12-08T20:40:00-05:00,OD,LONG,-435.0,-435.0
2020-12-09,2020-12-09T10:00:00-05:00,2020-12-09T10:20:00-05:00,RV,LONG,-756.7308012170179,-1395.0
2020-12-09,2020-12-09T11:00:00-05:00,2020-12-09T12:00:00-05:00,RV,SHORT,994.9954702163814,-40.0
2020-12-09,2020-12-09T14:20:00-05:00,2020-12-09T15:00:00-05:00,RV,SHORT,20.0,-620.0
2020-12-09,2020-12-09T19:20:00-05:00,2020-12-09T22:20:00-05:00,OD,LONG,-740.0,-760.0
2020-12-10,2020-12-10T19:20:00-05:00,2020-12-10T22:00:00-05:00,OD,LONG,-865.0,-875.0
2020-12-13,2020-12-13T19:20:00-05:00,2020-12-14T00:40:00-05:00,OD,LONG,-420.0,-245.0
2020-12-14,2020-12-14T10:15:00-05:00,2020-12-14T14:00:00-05:00,FB,LONG,-235.0,-1215.0
2020-12-14,2020-12-14T19:20:00-05:00,2020-12-14T21:20:00-05:00,OD,LONG,-570.0,-345.0
2020-12-15,2020-12-15T09:35:00-05:00,2020-12-15T09:40:00-05:00,FB,LONG,-410.0,-465.0
2020-12-15,2020-12-15T19:20:00-05:00,2020-12-16T06:20:00-05:00,OD,LONG,760.0,-115.0
2020-12-16,2020-12-16T10:00:00-05:00,2020-12-16T11:40:00-05:00,RV,LONG,869.2629516930901,-535.0
2020-12-16,2020-12-16T11:55:00-05:00,2020-12-16T14:00:00-05:00,FB,LONG,-165.0,-525.0
2020-12-16,2020-12-16T14:35:00-05:00,2020-12-16T15:40:00-05:00,B2,LONG,956.1729575740536,-30.0
