date,entry_time,exit_time,direction,prior_gamma_sign,entry_price,exit_price,qty,bars_held,pnl_pts,pnl_$,reason
2020-12-08,2020-12-08 10:00:00-05:00,2020-12-08 13:30:00-05:00,SHORT,-1,12551.75,12610.83599878839,1,7,-59.0859987883905,-1181.71997576781,SL
2020-12-10,2020-12-10 10:00:00-05:00,2020-12-10 14:30:00-05:00,SHORT,-1,12373.5,12371.25,2,9,2.25,90.0,FC
2020-12-11,2020-12-11 10:00:00-05:00,2020-12-11 14:30:00-05:00,SHORT,-1,12314.5,12335.75,1,9,-21.25,-425.0,FC
2020-12-22,2020-12-22 10:00:00-05:00,2020-12-22 11:30:00-05:00,LONG,1,12749.25,12678.152555092725,2,3,-71.09744490727462,-2843.897796290985,SL
2020-12-23,2020-12-23 10:00:00-05:00,2020-12-23 14:30:00-05:00,SHORT,-1,12689.5,12710.75,1,9,-21.25,-425.0,FC
2020-12-30,2020-12-30 10:00:00-05:00,2020-12-30 14:30:00-05:00,SHORT,-1,12865.25,12855.75,2,9,9.5,380.0,FC
2020-12-31,2020-12-31 10:00:00-05:00,2020-12-31 14:30:00-05:00,SHORT,-1,12833.0,12830.75,1,9,2.25,45.0,FC
2021-01-04,2021-01-04 10:00:00-05:00,2021-01-04 14:30:00-05:00,SHORT,-1,12879.75,12646.5,1,9,233.25,4665.0,FC
2021-01-11,2021-01-11 10:00:00-05:00,2021-01-11 14:30:00-05:00,SHORT,-1,12958.75,12917.0,1,9,41.75,835.0,FC
2021-01-12,2021-01-12 10:00:00-05:00,2021-01-12 14:30:00-05:00,SHORT,-1,12890.5,12878.75,1,9,11.75,235.0,FC
2021-01-15,2021-01-15 10:00:00-05:00,2021-01-15 14:30:00-05:00,SHORT,-1,12901.0,12847.0,1,9,54.0,1080.0,FC
2021-01-29,2021-01-29 10:00:00-05:00,2021-01-29 14:30:00-05:00,SHORT,-1,13082.75,12930.75,1,9,152.0,3040.0,FC
2021-02-05,2021-02-05 10:00:00-05:00,2021-02-05 12:30:00-05:00,SHORT,-1,13538.75,13604.402816537457,1,5,-65.6528165374566,-1313.056330749132,SL
2021-02-12,2021-02-12 10:00:00-05:00,2021-02-12 12:00:00-05:00,SHORT,-1,13693.75,13749.382378632068,2,4,-55.63237863206814,-2225.2951452827256,SL
2021-02-18,2021-02-18 10:00:00-05:00,2021-02-18 14:30:00-05:00,SHORT,-1,13567.5,13614.25,1,9,-46.75,-935.0,FC
2021-02-22,2021-02-22 10:00:00-05:00,2021-02-22 14:30:00-05:00,SHORT,-1,13428.0,13353.5,2,9,74.5,2980.0,FC
